-------------------------------------------------------
NAV_START | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37382457 | -80.0064628 | 0.0m/s | 508.97217m | 72 | Sat Nov 30 20:28:49 EST 2019
CUR_LOC | 40.37382465 | -80.0064629 | 0.0m/s | 508.96805m | 72 | Sat Nov 30 20:28:51 EST 2019
CUR_LOC | 40.37382471 | -80.00646298 | 0.0m/s | 508.96518m | 72 | Sat Nov 30 20:28:52 EST 2019
CUR_LOC | 40.3738247 | -80.00646299 | 0.0m/s | 508.96655m | 72 | Sat Nov 30 20:28:53 EST 2019
CUR_LOC | 40.37382471 | -80.00646301 | 0.0m/s | 508.96634m | 72 | Sat Nov 30 20:28:53 EST 2019
CUR_LOC | 40.37382468 | -80.00646295 | 0.0m/s | 508.967m | 72 | Sat Nov 30 20:28:54 EST 2019
CUR_LOC | 40.37382461 | -80.00646284 | 0.0m/s | 508.96973m | 72 | Sat Nov 30 20:28:55 EST 2019
CUR_LOC | 40.37382466 | -80.0064629 | 0.0m/s | 508.96707m | 72 | Sat Nov 30 20:28:57 EST 2019
CUR_LOC | 40.37382473 | -80.00646289 | 0.0m/s | 508.95975m | 72 | Sat Nov 30 20:28:58 EST 2019
CUR_LOC | 40.37382486 | -80.00646288 | 0.0m/s | 508.94647m | 72 | Sat Nov 30 20:28:59 EST 2019
CUR_LOC | 40.37382497 | -80.00646288 | 0.0m/s | 508.93558m | 72 | Sat Nov 30 20:28:59 EST 2019
CUR_LOC | 40.37382509 | -80.0064629 | 0.0m/s | 508.92444m | 72 | Sat Nov 30 20:29:01 EST 2019
CUR_LOC | 40.37387575 | -80.00641228 | 11.75m/s | 501.96674m | 72 | Sat Nov 30 20:29:01 EST 2019
