-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:39:27 EST 2019 | 6% | 40.43721124 | -79.96273008 | 0.0m/s | 5946.411m
CUR_LOC | Fri Nov 22 12:39:28 EST 2019 | 6% | 40.43721067 | -79.96272886 | 0.0m/s | 5946.3774m
CUR_LOC | Fri Nov 22 12:39:29 EST 2019 | 6% | 40.43721003 | -79.96272737 | 0.0m/s | 5946.3325m
CUR_LOC | Fri Nov 22 12:39:30 EST 2019 | 6% | 40.43720963 | -79.9627263 | 0.0m/s | 5946.296m
CUR_LOC | Fri Nov 22 12:39:31 EST 2019 | 6% | 40.43720945 | -79.9627256 | 0.0m/s | 5946.2656m
CUR_LOC | Fri Nov 22 12:39:32 EST 2019 | 6% | 40.43720926 | -79.96272502 | 0.0m/s | 5946.2437m
CUR_LOC | Fri Nov 22 12:39:33 EST 2019 | 6% | 40.43720953 | -79.96272505 | 0.0m/s | 5946.225m
CUR_LOC | Fri Nov 22 12:39:34 EST 2019 | 6% | 40.43720973 | -79.96272514 | 0.0m/s | 5946.216m
CUR_LOC | Fri Nov 22 12:39:35 EST 2019 | 6% | 40.43720997 | -79.96272544 | 0.0m/s | 5946.217m
CUR_LOC | Fri Nov 22 12:39:36 EST 2019 | 6% | 40.43721038 | -79.96272605 | 0.0m/s | 5946.224m
CUR_LOC | Fri Nov 22 12:39:37 EST 2019 | 6% | 40.43721833 | -79.96272183 | 1.0m/s | 5945.363m
CUR_LOC | Fri Nov 22 12:39:38 EST 2019 | 6% | 40.43723002 | -79.96270362 | 1.75m/s | 5943.347m
CUR_LOC | Fri Nov 22 12:39:39 EST 2019 | 6% | 40.43724639 | -79.96267655 | 2.25m/s | 5940.426m
CUR_LOC | Fri Nov 22 12:39:40 EST 2019 | 6% | 40.43728585 | -79.96262379 | 5.25m/s | 5934.165m
CUR_LOC | Fri Nov 22 12:39:41 EST 2019 | 6% | 40.43736763 | -79.96254747 | 6.75m/s | 5923.253m
CUR_LOC | Fri Nov 22 12:39:42 EST 2019 | 6% | 40.4374216 | -79.96247532 | 7.5m/s | 5914.6904m
CUR_LOC | Fri Nov 22 12:39:43 EST 2019 | 6% | 40.4374635 | -79.96240606 | 8.0m/s | 5907.2153m
CUR_LOC | Fri Nov 22 12:39:44 EST 2019 | 6% | 40.43753186 | -79.96236572 | 8.25m/s | 5899.5615m
CUR_LOC | Fri Nov 22 12:39:45 EST 2019 | 6% | 40.43761988 | -79.96231216 | 8.75m/s | 5889.608m
CUR_LOC | Fri Nov 22 12:39:46 EST 2019 | 6% | 40.43767671 | -79.96224148 | 8.75m/s | 5880.9233m
CUR_LOC | Fri Nov 22 12:39:47 EST 2019 | 6% | 40.43774048 | -79.96215981 | 9.25m/s | 5871.031m
