-------------------------------------------------------
NAV_START | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37439869 | -80.00730258 | 0.0m/s | 106.15604m | 37 | Sun Dec 01 16:00:39 EST 2019
CUR_LOC | 40.37439825 | -80.00730341 | 0.0m/s | 106.17784m | 37 | Sun Dec 01 16:00:40 EST 2019
CUR_LOC | 40.37439792 | -80.00730421 | 0.0m/s | 106.2057m | 37 | Sun Dec 01 16:00:41 EST 2019
CUR_LOC | 40.37439778 | -80.00730447 | 0.0m/s | 106.21241m | 37 | Sun Dec 01 16:00:42 EST 2019
CUR_LOC | 40.37439774 | -80.0073047 | 0.0m/s | 106.22439m | 37 | Sun Dec 01 16:00:43 EST 2019
CUR_LOC | 40.37439779 | -80.00730446 | 0.0m/s | 106.21249m | 37 | Sun Dec 01 16:00:44 EST 2019
CUR_LOC | 40.37439795 | -80.00730443 | 0.0m/s | 106.22208m | 37 | Sun Dec 01 16:00:45 EST 2019
CUR_LOC | 40.37439798 | -80.00730441 | 0.0m/s | 106.22295m | 37 | Sun Dec 01 16:00:46 EST 2019
CUR_LOC | 40.37439791 | -80.00730464 | 0.0m/s | 106.232765m | 37 | Sun Dec 01 16:00:47 EST 2019
CUR_LOC | 40.37439784 | -80.00730495 | 0.0m/s | 106.24775m | 37 | Sun Dec 01 16:00:48 EST 2019
CUR_LOC | 40.3743964 | -80.0073049 | 0.25m/s | 106.14084m | 37 | Sun Dec 01 16:00:49 EST 2019
CUR_LOC | 40.37437222 | -80.00727481 | 1.75m/s | 102.4554m | 37 | Sun Dec 01 16:00:50 EST 2019
CUR_LOC | 40.37435283 | -80.00724991 | 3.0m/s | 99.45103m | 37 | Sun Dec 01 16:00:51 EST 2019
CUR_LOC | 40.37431933 | -80.00720931 | 3.75m/s | 94.4206m | 37 | Sun Dec 01 16:00:52 EST 2019
CUR_LOC | 40.37428061 | -80.00716678 | 5.0m/s | 88.90219m | 37 | Sun Dec 01 16:00:53 EST 2019
CUR_LOC | 40.37425602 | -80.00713069 | 5.25m/s | 84.802185m | 37 | Sun Dec 01 16:00:54 EST 2019
CUR_LOC | 40.37421426 | -80.00707554 | 6.0m/s | 78.24876m | 37 | Sun Dec 01 16:00:55 EST 2019
LOCOFF|40.37421426|-80.00707554|37 | Sun Dec 01 16:00:55 EST 2019
ETAOFF | 33.10828 | 37 | Sun Dec 01 16:00:55 EST 2019
GPS_OFF | 37 | Sun Dec 01 16:00:55 EST 2019
CUR_LOC | 40.37417724 | -80.00702259 | 6.25m/s | 499.07724m | 37 | Sun Dec 01 16:00:56 EST 2019
CUR_LOC | 40.37411798 | -80.00692097 | 8.5m/s | 499.87897m | 37 | Sun Dec 01 16:00:57 EST 2019
CUR_LOC | 40.37406424 | -80.00685211 | 9.25m/s | 501.8402m | 37 | Sun Dec 01 16:00:58 EST 2019
CUR_LOC | 40.37401893 | -80.0067711 | 9.0m/s | 502.6014m | 37 | Sun Dec 01 16:00:59 EST 2019
CUR_LOC | 40.37398529 | -80.00669659 | 8.0m/s | 502.65305m | 37 | Sun Dec 01 16:01:00 EST 2019
CUR_LOC | 40.37394577 | -80.00662171 | 7.75m/s | 503.36862m | 37 | Sun Dec 01 16:01:01 EST 2019
CUR_LOC | 40.37389784 | -80.00655878 | 6.75m/s | 505.5027m | 37 | Sun Dec 01 16:01:02 EST 2019
CUR_LOC | 40.37387602 | -80.00652976 | 5.25m/s | 506.49377m | 37 | Sun Dec 01 16:01:03 EST 2019
CUR_LOC | 40.37385867 | -80.00649552 | 3.5m/s | 506.86215m | 37 | Sun Dec 01 16:01:04 EST 2019
CUR_LOC | 40.37385421 | -80.00647792 | 1.75m/s | 506.61996m | 37 | Sun Dec 01 16:01:05 EST 2019
CUR_LOC | 40.37384581 | -80.00645093 | 1.75m/s | 506.41248m | 37 | Sun Dec 01 16:01:06 EST 2019
CUR_LOC | 40.37383247 | -80.00642431 | 2.0m/s | 506.72183m | 37 | Sun Dec 01 16:01:07 EST 2019
CUR_LOC | 40.37383986 | -80.00640779 | 0.0m/s | 505.3621m | 37 | Sun Dec 01 16:01:08 EST 2019
CUR_LOC | 40.37384794 | -80.0064105 | 0.0m/s | 504.66122m | 37 | Sun Dec 01 16:01:09 EST 2019
CUR_LOC | 40.37385089 | -80.00640829 | 0.0m/s | 504.28433m | 37 | Sun Dec 01 16:01:10 EST 2019
CUR_LOC | 40.37385414 | -80.00641014 | 0.0m/s | 504.03143m | 37 | Sun Dec 01 16:01:11 EST 2019
CUR_LOC | 40.37385889 | -80.00640886 | 0.0m/s | 503.51093m | 37 | Sun Dec 01 16:01:12 EST 2019
CUR_LOC | 40.37385864 | -80.00641631 | 0.0m/s | 503.81863m | 37 | Sun Dec 01 16:01:13 EST 2019
CUR_LOC | 40.37386097 | -80.00642085 | 0.0m/s | 503.76004m | 37 | Sun Dec 01 16:01:14 EST 2019
